"","Div","Date","Day","Month","HomeTeam","AwayTeam","FTHG","FTAG","Result","Hpoints","Apoints","FTR","HTHG","HTAG","HTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","season","UtcDate","HTop6","ATop6","HLast5GamesGoals","ALast5GamesGoals","HLast3GamesGoalsVSOpposition","ALast3GamesGoalsVSOpposition","HLast5GamesGoalsConceded","ALast5GamesGoalsConceded","HForm","AForm","HomeGoalsPredictionTree","AwayGoalsPredictionTree","HomeGoalsPredictionReg","AwayGoalsPredictionReg"
"3228","E0","23/12/17","Sunday","December","Stoke","West Brom",3,1,"H",3,0,"H",2,0,"H","N Swarbrick",9,17,5,7,9,11,1,11,1,0,0,0,"17/18",1514016000,0,0,1,0.2,1,0.666666666666667,2.2,0.8,4,2,1.48,1.09,1,1
"3229","E0","23/12/17","Sunday","December","Swansea","Crystal Palace",1,1,"D",1,1,"D",0,0,"D","C Pawson",7,13,2,5,13,11,6,3,2,3,0,0,"17/18",1514016000,0,0,0.4,0.6,2.33333333333333,2,1.4,0.4,4,5,1.48,1.09,1,1
"3230","E0","23/12/17","Sunday","December","West Ham","Newcastle",2,3,"A",0,3,"A",1,1,"D","L Mason",19,11,6,4,9,12,6,3,1,1,0,0,"17/18",1514016000,0,0,0.6,0.8,1.33333333333333,1,1.6,2.2,5,1,1.48,1.09,1,1
"3234","E0","26/12/17","Thursday","December","Liverpool","Swansea",5,0,"H",3,0,"H",1,0,"H","K Friend",22,7,9,4,5,8,4,2,0,1,0,0,"17/18",1514275200,1,0,1.6,0.6,2.33333333333333,1.33333333333333,0.4,2,9,0,2.26,0.73,3,1
"3235","E0","26/12/17","Thursday","December","Man United","Burnley",2,2,"D",1,1,"D",0,2,"A","M Atkinson",23,3,6,2,10,14,12,2,3,7,0,0,"17/18",1514275200,1,0,1.6,0.6,2,0.333333333333333,0.6,1,12,7,2.26,0.73,2,1
"3236","E0","26/12/17","Thursday","December","Tottenham","Southampton",5,2,"H",3,0,"H",2,0,"H","G Scott",16,16,7,6,8,15,3,8,0,2,0,0,"17/18",1514275200,1,0,2.6,0.6,1.33333333333333,1,0.6,1.6,13,2,2.26,0.73,2,1
"3238","E0","26/12/17","Thursday","December","West Brom","Everton",0,0,"D",1,1,"D",0,0,"D","R East",17,7,3,3,14,13,10,2,2,0,0,0,"17/18",1514275200,0,0,1,1,1,2.33333333333333,2.2,1.8,2,5,1.48,1.09,1,1
"3239","E0","27/12/17","Friday","December","Newcastle","Man City",0,1,"A",0,3,"A",0,1,"A","A Marriner",6,22,2,6,11,6,3,8,1,0,0,0,"17/18",1514361600,0,1,0.6,2.6,0.333333333333333,1.66666666666667,1.6,0.8,3,15,1.06,1.81,1,2
"3240","E0","28/12/17","Sunday","December","Crystal Palace","Arsenal",2,3,"A",0,3,"A",0,1,"A","M Oliver",16,16,2,9,12,7,5,4,0,1,0,0,"17/18",1514448000,0,1,2,1.6,1.66666666666667,1.33333333333333,1.6,1.2,9,8,1.06,1.81,1,2
"3242","E0","30/12/17","Wednesday","December","Chelsea","Stoke",5,0,"H",3,0,"H",3,0,"H","K Friend",21,1,12,1,5,10,7,0,1,1,0,0,"17/18",1514620800,1,0,1.6,1,2.33333333333333,1.33333333333333,0.2,2.2,15,2,2.26,0.73,2,1
