"","Div","Date","Day","Month","HomeTeam","AwayTeam","FTHG","FTAG","Result","Hpoints","Apoints","FTR","HTHG","HTAG","HTR","Referee","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","season","UtcDate","HTop6","ATop6","HLast5GamesGoals","ALast5GamesGoals","HLast3GamesGoalsVSOpposition","ALast3GamesGoalsVSOpposition","HLast5GamesGoalsConceded","ALast5GamesGoalsConceded","HForm","AForm","HomeGoalsPredictionTree","AwayGoalsPredictionTree","HomeGoalsPredictionReg","AwayGoalsPredictionReg"
"3565","E0","05/12/2018","05/12/2018","05/12/2018","Burnley","Liverpool",1,3,"A",0,3,"A",0,0,"D","S Attwell",10,18,6,12,10,3,5,9,1,0,0,0,"18/19",1543996800,0,1,1.2,1.6,1,1,1.8,0.6,4,11,1.06,1.81,1,2
"3566","E0","05/12/2018","05/12/2018","05/12/2018","Everton","Newcastle",1,1,"D",1,1,"D",1,1,"D","L Mason",19,8,3,5,7,18,14,2,0,5,0,0,"18/19",1543996800,0,0,2,1,2.33333333333333,0,0.8,1.2,12,5,1.48,1.09,1,1
"3568","E0","05/12/2018","05/12/2018","05/12/2018","Man United","Arsenal",2,2,"D",1,1,"D",1,1,"D","A Marriner",10,9,7,4,13,10,4,4,3,3,0,0,"18/19",1543996800,1,1,1.2,2.8,2,1.33333333333333,1.4,1.4,8,13,1.7,1.18,1,1
"3569","E0","05/12/2018","05/12/2018","05/12/2018","Tottenham","Southampton",3,1,"H",3,0,"H",1,0,"H","A Taylor",13,18,8,5,7,5,8,6,0,0,0,0,"18/19",1543996800,1,0,1.6,0.6,2.66666666666667,1.66666666666667,1,2.8,9,1,2.26,0.73,2,1
"3570","E0","05/12/2018","05/12/2018","05/12/2018","Wolves","Chelsea",2,1,"H",3,0,"H",0,1,"A","J Moss",6,17,2,3,18,10,1,5,4,4,0,0,"18/19",1543996800,0,1,1,2,0.666666666666667,1.33333333333333,1.4,0.8,6,10,1.06,1.81,1,2
"3572","E0","08/12/2018","08/12/2018","08/12/2018","Bournemouth","Liverpool",0,4,"A",0,3,"A",0,1,"A","L Mason",8,10,2,4,9,11,6,6,2,1,0,0,"18/19",1544256000,0,1,1.2,1.8,1.66666666666667,3,1.2,0.6,7,11,1.06,1.81,1,2
"3575","E0","08/12/2018","08/12/2018","08/12/2018","Chelsea","Man City",2,0,"H",3,0,"H",1,0,"H","M Oliver",8,14,5,4,12,11,1,13,2,0,0,0,"18/19",1544256000,1,1,1.6,2.4,0.666666666666667,1.66666666666667,0.8,0.2,9,13,1.7,1.18,2,1
"3576","E0","08/12/2018","08/12/2018","08/12/2018","Leicester","Tottenham",0,2,"A",0,3,"A",0,1,"A","C Pawson",11,7,3,2,12,7,6,5,3,1,0,0,"18/19",1544256000,0,1,1.4,1.8,1.33333333333333,2.66666666666667,0.8,1.2,8,12,1.06,1.81,1,2
"3577","E0","08/12/2018","08/12/2018","08/12/2018","Man United","Fulham",4,1,"H",3,0,"H",3,0,"H","L Probert",20,10,11,4,11,15,10,3,1,1,0,1,"18/19",1544256000,1,0,1.6,0.4,2,1.33333333333333,1.2,2.4,9,0,2.26,0.73,2,1
"3578","E0","08/12/2018","08/12/2018","08/12/2018","West Ham","Crystal Palace",3,2,"H",3,0,"H",0,1,"A","A Taylor",13,8,6,4,10,8,5,3,1,2,0,0,"18/19",1544256000,0,0,2,0.6,2,1,1.8,2,9,1,1.48,1.09,1,1
"3580","E0","10/12/2018","10/12/2018","10/12/2018","Everton","Watford",2,2,"D",1,1,"D",1,0,"H","K Friend",12,15,5,3,13,13,6,6,1,1,0,0,"18/19",1544428800,0,0,2,0.6,2,1.33333333333333,0.4,1.2,13,4,1.48,1.09,2,1
"3581","E0","15/12/2018","15/12/2018","15/12/2018","Crystal Palace","Leicester",1,0,"H",3,0,"H",1,0,"H","M Oliver",8,12,1,2,10,8,4,4,2,1,0,0,"18/19",1544860800,0,0,0.8,1.2,2.33333333333333,1,0.8,1,5,8,1.48,1.09,1,1
"3582","E0","15/12/2018","15/12/2018","15/12/2018","Fulham","West Ham",0,2,"A",0,3,"A",0,2,"A","M Dean",16,6,4,3,14,10,6,4,2,1,0,0,"18/19",1544860800,0,0,1.2,1.6,2,1.66666666666667,2.4,0.8,5,8,1.48,1.09,1,1
"3584","E0","15/12/2018","15/12/2018","15/12/2018","Man City","Everton",3,1,"H",3,0,"H",1,0,"H","C Pawson",13,9,5,2,7,9,6,2,1,2,0,0,"18/19",1544860800,1,0,3.8,0.6,0.666666666666667,0.666666666666667,0.6,1.2,15,4,2.26,0.73,3,1
"3585","E0","15/12/2018","15/12/2018","15/12/2018","Tottenham","Burnley",1,0,"H",3,0,"H",0,0,"D","G Scott",15,4,3,0,7,8,8,3,0,2,0,0,"18/19",1544860800,1,0,1.6,0.8,1.66666666666667,1,1,2.4,9,4,2.26,0.73,2,1
"3589","E0","16/12/2018","16/12/2018","16/12/2018","Liverpool","Man United",3,1,"H",3,0,"H",1,1,"D","M Atkinson",36,6,11,2,6,14,13,2,0,2,0,0,"18/19",1544947200,1,1,2,1.6,0,0.333333333333333,0.2,2.2,13,5,1.7,1.18,2,1
"3590","E0","16/12/2018","16/12/2018","16/12/2018","Southampton","Arsenal",3,2,"H",3,0,"H",2,1,"H","C Kavanagh",12,13,7,4,12,10,4,5,3,1,0,0,"18/19",1544947200,0,1,1,2.6,1.66666666666667,1,1.6,1.4,4,11,1.06,1.81,1,2
"3591","E0","21/12/2018","21/12/2018","21/12/2018","Wolves","Liverpool",0,2,"A",0,3,"A",0,1,"A","C Pawson",11,15,5,6,7,3,1,10,0,0,0,0,"18/19",1545379200,0,1,1.2,2.4,0,2,1.6,0.4,6,13,1.06,1.81,1,2
"3592","E0","22/12/2018","22/12/2018","22/12/2018","Arsenal","Burnley",3,1,"H",3,0,"H",1,0,"H","K Friend",10,7,6,2,10,14,1,3,2,5,0,0,"18/19",1545465600,1,0,2,0.4,3.33333333333333,0.333333333333333,1,2.4,11,1,2.26,0.73,2,1
"3595","E0","22/12/2018","22/12/2018","22/12/2018","Chelsea","Leicester",0,1,"A",0,3,"A",0,0,"D","L Probert",17,8,5,3,10,9,9,5,0,2,0,0,"18/19",1545465600,1,0,1.8,0.8,1.33333333333333,0.333333333333333,0.6,1.2,11,5,2.26,0.73,2,1
"3597","E0","22/12/2018","22/12/2018","22/12/2018","Man City","Crystal Palace",2,3,"A",0,3,"A",1,2,"A","A Marriner",19,5,5,3,7,6,13,0,0,4,0,0,"18/19",1545465600,1,0,4,0.8,4.66666666666667,0,0.8,2.2,15,1,2.26,0.73,3,1
"3598","E0","22/12/2018","22/12/2018","22/12/2018","Newcastle","Fulham",0,0,"D",1,1,"D",0,0,"D","M Atkinson",9,4,0,2,9,12,6,0,1,2,0,0,"18/19",1545465600,0,0,0.8,0.6,1.33333333333333,0.333333333333333,1.4,2.6,6,0,1.48,1.09,1,1
"3599","E0","22/12/2018","22/12/2018","22/12/2018","West Ham","Watford",0,2,"A",0,3,"A",0,1,"A","L Mason",18,11,7,5,9,11,10,4,3,2,0,0,"18/19",1545465600,0,0,2,1,2.33333333333333,1.66666666666667,2,1.2,9,5,1.48,1.09,1,1
"3600","E0","23/12/2018","23/12/2018","23/12/2018","Everton","Tottenham",2,6,"A",0,3,"A",1,3,"A","P Tierney",10,17,3,8,13,9,2,1,0,2,0,0,"18/19",1545552000,0,1,1.8,1.8,0.666666666666667,1.66666666666667,0.8,1.2,11,12,1.06,1.81,1,2
"3602","E0","26/12/2018","26/12/2018","26/12/2018","Burnley","Everton",1,5,"A",0,3,"A",1,3,"A","M Oliver",11,13,4,6,11,19,5,7,2,4,0,0,"18/19",1545811200,0,0,0.8,0.8,1.66666666666667,1.66666666666667,2,1.4,4,4,1.48,1.09,1,1
"3604","E0","26/12/2018","26/12/2018","26/12/2018","Fulham","Wolves",1,1,"D",1,1,"D",0,0,"D","A Marriner",11,14,9,5,9,6,2,0,2,1,0,0,"18/19",1545811200,0,0,1,1,2.33333333333333,0.333333333333333,2.6,1,4,7,1.48,1.09,1,1
"3605","E0","26/12/2018","26/12/2018","26/12/2018","Leicester","Man City",2,1,"H",3,0,"H",1,1,"D","M Dean",10,11,5,4,5,8,3,7,2,2,0,1,"18/19",1545811200,0,1,0.8,1.4,1.33333333333333,1.33333333333333,1,0.6,5,10,1.06,1.81,1,2
"3606","E0","26/12/2018","26/12/2018","26/12/2018","Liverpool","Newcastle",4,0,"H",3,0,"H",1,0,"H","G Scott",16,6,8,2,7,9,10,2,0,0,0,0,"18/19",1545811200,1,0,2,1.2,2,0.666666666666667,0.4,1,13,8,2.26,0.73,2,1
"3608","E0","26/12/2018","26/12/2018","26/12/2018","Tottenham","Bournemouth",5,0,"H",3,0,"H",3,0,"H","C Kavanagh",10,14,7,4,4,8,3,4,2,1,0,0,"18/19",1545811200,1,0,1.6,1.8,2.66666666666667,0,0.6,1.4,12,6,2.26,0.73,2,1
"3609","E0","26/12/2018","26/12/2018","26/12/2018","Watford","Chelsea",1,2,"A",0,3,"A",1,1,"D","M Atkinson",10,10,2,4,15,5,3,4,1,0,0,0,"18/19",1545811200,0,1,1.4,2.2,1.66666666666667,1,2.2,1.2,6,9,1.06,1.81,1,2
"3610","E0","27/12/2018","27/12/2018","27/12/2018","Southampton","West Ham",1,2,"A",0,3,"A",0,0,"D","C Pawson",11,16,5,5,10,3,4,5,2,0,0,0,"18/19",1545897600,0,0,1.2,1.4,1.66666666666667,1.66666666666667,1.6,0.6,6,8,1.48,1.09,1,1
"3614","E0","29/12/2018","29/12/2018","29/12/2018","Liverpool","Arsenal",5,1,"H",3,0,"H",4,1,"H","M Oliver",15,8,10,2,8,13,5,3,1,2,0,0,"18/19",1546070400,1,1,2.8,1.8,3.33333333333333,1.33333333333333,0.4,1.8,15,6,1.7,1.18,2,1
"3615","E0","29/12/2018","29/12/2018","29/12/2018","Tottenham","Wolves",1,3,"A",0,3,"A",1,0,"H","S Attwell",10,11,3,4,7,7,6,7,3,2,0,0,"18/19",1546070400,1,0,2.4,1,1.33333333333333,1,0.6,1.2,12,5,2.26,0.73,2,1
"3617","E0","30/12/2018","30/12/2018","30/12/2018","Burnley","West Ham",2,0,"H",3,0,"H",2,0,"H","D Coote",17,11,5,4,15,11,5,5,1,4,0,0,"18/19",1546156800,0,0,0.8,1.8,1,2,2.8,0.6,3,11,1.48,1.09,1,2
"3618","E0","30/12/2018","30/12/2018","30/12/2018","Crystal Palace","Chelsea",0,1,"A",0,3,"A",0,0,"D","C Pawson",4,12,0,4,11,8,3,4,0,1,0,0,"18/19",1546156800,0,1,1,2,0.666666666666667,1.66666666666667,0.6,1.4,8,9,1.06,1.81,1,2
"3619","E0","30/12/2018","30/12/2018","30/12/2018","Man United","Bournemouth",4,1,"H",3,0,"H",3,1,"H","L Mason",11,7,8,3,10,7,4,5,2,0,1,0,"18/19",1546156800,1,0,2.2,1,1.66666666666667,0.666666666666667,1,2.4,11,3,2.26,0.73,2,1
"3620","E0","30/12/2018","30/12/2018","30/12/2018","Southampton","Man City",1,3,"A",0,3,"A",1,3,"A","P Tierney",5,14,4,6,11,10,3,8,2,3,1,0,"18/19",1546156800,0,1,1.4,1.6,1.33333333333333,2,1.4,1,6,9,1.06,1.81,1,2
"3621","E0","01/01/2019","01/01/2019","01/01/2019","Arsenal","Fulham",4,1,"H",3,0,"H",1,0,"H","G Scott",16,9,9,4,7,12,8,3,0,1,0,0,"18/19",1546329600,1,0,2,0.2,2,1.33333333333333,1,1.8,11,1,2.26,0.73,2,1
"3623","E0","01/01/2019","01/01/2019","01/01/2019","Everton","Leicester",0,1,"A",0,3,"A",0,0,"D","M Atkinson",17,8,2,4,5,8,6,5,3,1,0,0,"18/19",1546329600,0,0,1.8,0.8,2.66666666666667,2,2,0.6,8,8,1.48,1.09,1,1
"3624","E0","02/01/2019","02/01/2019","02/01/2019","Bournemouth","Watford",3,3,"D",1,1,"D",3,3,"D","D Coote",25,11,12,3,9,15,4,2,1,4,0,0,"18/19",1546416000,0,0,1.2,1,1,1.66666666666667,1.8,1.2,6,5,1.48,1.09,1,1
"3625","E0","02/01/2019","02/01/2019","02/01/2019","Chelsea","Southampton",0,0,"D",1,1,"D",0,0,"D","J Moss",17,6,6,2,8,11,7,2,1,2,0,0,"18/19",1546416000,1,0,1.4,1.4,2,1.66666666666667,0.4,2.8,10,3,2.26,0.73,2,1
"3627","E0","02/01/2019","02/01/2019","02/01/2019","Newcastle","Man United",0,2,"A",0,3,"A",0,0,"D","A Marriner",14,16,3,7,10,9,1,2,1,2,0,0,"18/19",1546416000,0,1,0.8,2.2,1.33333333333333,1.33333333333333,1.2,2,7,7,1.06,1.81,1,2
"3630","E0","03/01/2019","03/01/2019","03/01/2019","Man City","Liverpool",2,1,"H",3,0,"H",1,0,"H","A Taylor",9,7,4,5,12,7,2,1,4,2,0,0,"18/19",1546502400,1,1,3.4,2.6,2.33333333333333,1.66666666666667,1.4,0.4,12,13,1.7,1.18,2,1
"3634","E0","12/01/2019","12/01/2019","12/01/2019","Chelsea","Newcastle",2,1,"H",3,0,"H",1,1,"D","C Kavanagh",10,9,6,2,6,13,8,5,1,1,0,0,"18/19",1547280000,1,0,0.8,1,3.33333333333333,0.666666666666667,0.2,1.4,8,8,2.26,0.73,2,1
"3635","E0","12/01/2019","12/01/2019","12/01/2019","Crystal Palace","Watford",1,2,"A",0,3,"A",1,0,"H","P Tierney",15,16,6,2,11,11,7,7,1,4,0,0,"18/19",1547280000,0,0,0.6,1.6,1.33333333333333,1,0.4,1.6,7,6,1.48,1.09,1,1
"3636","E0","12/01/2019","12/01/2019","12/01/2019","Leicester","Southampton",1,2,"A",0,3,"A",0,2,"A","M Oliver",23,8,6,3,7,9,10,3,2,1,0,1,"18/19",1547280000,0,0,0.8,1.2,0.333333333333333,0,0.8,1.6,7,4,1.48,1.09,1,1
"3637","E0","12/01/2019","12/01/2019","12/01/2019","West Ham","Arsenal",1,0,"H",3,0,"H",0,0,"D","J Moss",11,11,3,2,7,10,7,3,0,2,0,0,"18/19",1547280000,0,1,1.6,1.6,1.33333333333333,2.66666666666667,2.2,2.4,7,5,1.06,1.81,1,2
"3638","E0","13/01/2019","13/01/2019","13/01/2019","Everton","Bournemouth",2,0,"H",3,0,"H",0,0,"D","A Taylor",15,16,3,7,17,8,5,9,5,0,0,0,"18/19",1547366400,0,0,1.2,0.6,3.33333333333333,1.66666666666667,2,3.2,5,0,1.48,1.09,1,1
"3639","E0","13/01/2019","13/01/2019","13/01/2019","Tottenham","Man United",0,1,"A",0,3,"A",0,1,"A","M Dean",21,13,11,8,8,8,7,4,1,2,0,0,"18/19",1547366400,1,1,2.6,2.2,2.33333333333333,0.333333333333333,1,1.8,12,7,1.7,1.18,2,1
"3640","E0","14/01/2019","14/01/2019","14/01/2019","Man City","Wolves",3,0,"H",3,0,"H",2,0,"H","C Pawson",24,3,9,0,6,3,12,1,1,0,0,1,"18/19",1547452800,1,0,2.6,1.6,2.66666666666667,1.33333333333333,1.4,1.2,12,8,2.26,0.73,2,1
"3641","E0","19/01/2019","19/01/2019","19/01/2019","Arsenal","Chelsea",2,0,"H",3,0,"H",2,0,"H","A Taylor",13,13,5,1,13,15,5,6,0,2,0,0,"18/19",1547884800,1,1,2.6,1.4,1.66666666666667,1,1,1.4,13,9,1.7,1.18,2,1
"3642","E0","19/01/2019","19/01/2019","19/01/2019","Bournemouth","West Ham",2,0,"H",3,0,"H",0,0,"D","S Hooper",10,9,4,1,6,10,2,3,0,1,0,0,"18/19",1547884800,0,0,1.6,1.6,2.33333333333333,2.66666666666667,2,0.8,7,10,1.48,1.09,1,1
"3643","E0","19/01/2019","19/01/2019","19/01/2019","Liverpool","Crystal Palace",4,3,"H",3,0,"H",0,1,"A","J Moss",19,9,9,3,6,8,8,3,0,1,1,0,"18/19",1547884800,1,0,3,1.6,1,1.33333333333333,0.4,1.6,15,7,2.26,0.73,3,1
"3646","E0","19/01/2019","19/01/2019","19/01/2019","Southampton","Everton",2,1,"H",3,0,"H",0,0,"D","G Scott",11,7,4,2,12,11,7,6,2,1,0,0,"18/19",1547884800,0,0,1.6,1.2,1.66666666666667,1.33333333333333,2,1.2,5,4,1.48,1.09,1,1
"3649","E0","20/01/2019","20/01/2019","20/01/2019","Fulham","Tottenham",1,2,"A",0,3,"A",1,0,"H","C Pawson",12,14,4,5,10,8,7,10,2,3,0,0,"18/19",1547971200,0,1,1.2,2.8,0.666666666666667,2.66666666666667,1.2,1.2,8,12,1.06,1.81,1,2
"3654","E0","29/01/2019","29/01/2019","29/01/2019","Man United","Burnley",2,2,"D",1,1,"D",0,0,"D","J Moss",28,6,9,4,10,9,11,3,1,3,0,0,"18/19",1548748800,1,0,3,0.6,1.66666666666667,1,1.2,1.4,13,4,2.26,0.73,2,1
"3655","E0","29/01/2019","29/01/2019","29/01/2019","Newcastle","Man City",2,1,"H",3,0,"H",0,1,"A","P Tierney",6,12,2,4,9,7,1,8,2,3,0,0,"18/19",1548748800,0,1,0.8,1.8,0.333333333333333,1.33333333333333,1.4,1.2,4,9,1.06,1.81,1,2
"3657","E0","30/01/2019","30/01/2019","30/01/2019","Bournemouth","Chelsea",4,0,"H",3,0,"H",0,0,"D","R East",12,11,7,7,8,6,3,7,1,0,0,0,"18/19",1548835200,0,1,1.8,1.2,0.666666666666667,2.66666666666667,1.6,1.2,10,9,1.06,1.81,1,2
"3658","E0","30/01/2019","30/01/2019","30/01/2019","Liverpool","Leicester",1,1,"D",1,1,"D",1,1,"D","M Atkinson",10,5,3,2,13,6,7,1,1,3,0,0,"18/19",1548835200,1,0,3.4,1.2,2.33333333333333,0.666666666666667,1,1.2,15,7,2.26,0.73,3,1
"3659","E0","30/01/2019","30/01/2019","30/01/2019","Southampton","Crystal Palace",1,1,"D",1,1,"D",0,1,"A","A Marriner",13,15,4,3,11,8,3,8,2,2,0,1,"18/19",1548835200,0,0,1.8,2.2,2.66666666666667,1.33333333333333,2,2.4,7,6,1.48,1.09,2,1
"3660","E0","30/01/2019","30/01/2019","30/01/2019","Tottenham","Watford",2,1,"H",3,0,"H",0,1,"A","G Scott",17,9,3,1,6,9,9,5,0,4,0,0,"18/19",1548835200,1,0,2,1.8,2.33333333333333,0,1,1.6,9,8,2.26,0.73,2,1
"3662","E0","02/02/2019","02/02/2019","02/02/2019","Burnley","Southampton",1,1,"D",1,1,"D",0,0,"D","A Taylor",15,10,6,4,10,9,4,2,3,1,0,0,"18/19",1549094400,0,0,1.4,1.2,1,0.333333333333333,1.8,1.2,9,7,1.48,1.09,1,1
"3666","E0","02/02/2019","02/02/2019","02/02/2019","Everton","Wolves",1,3,"A",0,3,"A",1,2,"A","L Mason",13,8,4,4,12,14,3,1,3,1,0,0,"18/19",1549094400,0,0,1.4,1.4,1.33333333333333,1,2,1.6,5,7,1.48,1.09,1,1
"3667","E0","02/02/2019","02/02/2019","02/02/2019","Tottenham","Newcastle",1,0,"H",3,0,"H",0,0,"D","A Marriner",21,8,4,2,6,6,6,3,0,1,0,0,"18/19",1549094400,1,0,1.8,0.8,1,1.33333333333333,1,1.6,9,5,2.26,0.73,2,1
"3668","E0","03/02/2019","03/02/2019","03/02/2019","Leicester","Man United",0,1,"A",0,3,"A",0,1,"A","M Dean",17,10,6,6,14,9,7,2,4,4,0,0,"18/19",1549180800,0,1,1,2.2,1,2,1.2,1.2,6,10,1.06,1.81,1,2
"3669","E0","03/02/2019","03/02/2019","03/02/2019","Man City","Arsenal",3,1,"H",3,0,"H",2,1,"H","M Atkinson",19,4,12,2,11,8,4,2,1,1,0,0,"18/19",1549180800,1,1,2.6,1.2,2.33333333333333,1.33333333333333,1.2,2.4,12,2,1.7,1.18,2,1
"3670","E0","04/02/2019","04/02/2019","04/02/2019","West Ham","Liverpool",1,1,"D",1,1,"D",1,1,"D","K Friend",13,11,2,6,9,11,2,5,1,1,0,0,"18/19",1549267200,0,1,1.8,2.2,1,2.66666666666667,1.4,0.6,10,12,1.06,1.81,1,2
"3671","E0","06/02/2019","06/02/2019","06/02/2019","Everton","Man City",0,2,"A",0,3,"A",0,1,"A","C Pawson",4,15,1,4,12,6,5,6,1,1,0,0,"18/19",1549440000,0,1,1.4,1.6,1.66666666666667,1.66666666666667,2.4,1.4,4,6,1.06,1.81,1,2
"3673","E0","09/02/2019","09/02/2019","09/02/2019","Crystal Palace","West Ham",1,1,"D",1,1,"D",0,1,"A","C Pawson",25,6,5,4,12,9,10,4,3,0,0,0,"18/19",1549699200,0,0,0.8,0.8,1,2,0.6,1.6,7,6,1.48,1.09,1,1
"3674","E0","09/02/2019","09/02/2019","09/02/2019","Fulham","Man United",0,3,"A",0,3,"A",0,2,"A","P Tierney",15,15,3,7,14,9,5,4,3,2,0,0,"18/19",1549699200,0,1,1.4,2,0.333333333333333,3,1.4,0.8,7,12,1.06,1.81,1,2
"3676","E0","09/02/2019","09/02/2019","09/02/2019","Liverpool","Bournemouth",3,0,"H",3,0,"H",2,0,"H","A Taylor",20,12,9,2,14,6,8,5,2,2,0,0,"18/19",1549699200,1,0,3.4,0.2,2,0.666666666666667,1.2,3,13,0,2.26,0.73,3,1
"3678","E0","09/02/2019","09/02/2019","09/02/2019","Watford","Everton",1,0,"H",3,0,"H",0,0,"D","L Probert",7,9,2,4,21,10,8,2,2,0,0,1,"18/19",1549699200,0,0,1.2,1.6,1.66666666666667,1,1.4,1.4,5,6,1.48,1.09,1,1
"3679","E0","10/02/2019","10/02/2019","10/02/2019","Man City","Chelsea",6,0,"H",3,0,"H",4,0,"H","M Dean",15,12,9,4,9,13,2,2,1,2,0,0,"18/19",1549785600,1,1,2.6,1,1.66666666666667,1,1.2,1.6,12,9,1.7,1.18,2,1
"3680","E0","10/02/2019","10/02/2019","10/02/2019","Tottenham","Leicester",3,1,"H",3,0,"H",1,0,"H","M Oliver",12,20,5,9,11,4,2,9,3,1,0,0,"18/19",1549785600,1,0,1.8,1.2,2,2,1,1.2,9,7,2.26,0.73,2,1
"3683","E0","22/02/2019","22/02/2019","22/02/2019","West Ham","Fulham",3,1,"H",3,0,"H",2,1,"H","L Mason",21,8,7,5,11,11,12,0,1,1,0,0,"18/19",1550822400,0,0,1.4,0.6,2.33333333333333,0.333333333333333,1.4,2.4,8,1,1.48,1.09,1,1
"3685","E0","23/02/2019","23/02/2019","23/02/2019","Burnley","Tottenham",2,1,"H",3,0,"H",0,0,"D","M Dean",10,17,4,6,9,12,7,6,1,3,0,0,"18/19",1550908800,0,1,1.4,3,0,1.66666666666667,1.4,1.4,10,12,1.06,1.81,1,2
"3686","E0","23/02/2019","23/02/2019","23/02/2019","Leicester","Crystal Palace",1,4,"A",0,3,"A",0,1,"A","A Taylor",27,7,5,5,7,14,8,3,2,1,0,0,"18/19",1550908800,0,0,0.6,2.2,1.33333333333333,1.33333333333333,1.4,2,3,7,1.48,1.09,1,1
"3688","E0","24/02/2019","24/02/2019","24/02/2019","Arsenal","Southampton",2,0,"H",3,0,"H",2,0,"H","G Scott",12,10,4,4,7,14,6,4,0,0,0,0,"18/19",1550995200,1,0,2.4,1.2,1.66666666666667,1,0.6,0.8,15,8,2.26,0.73,2,1
"3689","E0","24/02/2019","24/02/2019","24/02/2019","Man United","Liverpool",0,0,"D",1,1,"D",0,0,"D","M Oliver",6,7,3,1,15,17,3,7,1,3,0,0,"18/19",1550995200,1,1,3,1.8,2,1,1.2,0.6,13,10,1.7,1.18,2,1
"3694","E0","27/02/2019","27/02/2019","27/02/2019","Arsenal","Bournemouth",5,1,"H",3,0,"H",2,1,"H","C Kavanagh",16,13,6,5,11,9,9,4,2,2,0,0,"18/19",1551254400,1,0,2.6,0.2,2.66666666666667,0.333333333333333,0.6,3.2,15,0,2.26,0.73,2,1
"3695","E0","27/02/2019","27/02/2019","27/02/2019","Chelsea","Tottenham",2,0,"H",3,0,"H",0,0,"D","A Marriner",11,9,1,0,7,14,2,2,1,1,0,0,"18/19",1551254400,1,1,1.8,2.8,1.66666666666667,2,0.4,1,10,12,1.7,1.18,2,1
"3696","E0","27/02/2019","27/02/2019","27/02/2019","Crystal Palace","Man United",1,3,"A",0,3,"A",0,1,"A","M Atkinson",17,13,2,4,8,9,5,6,2,3,0,0,"18/19",1551254400,0,1,0.8,2.4,1,1.66666666666667,0.8,0.2,5,15,1.06,1.81,1,2
"3697","E0","27/02/2019","27/02/2019","27/02/2019","Liverpool","Watford",5,0,"H",3,0,"H",2,0,"H","G Scott",19,5,10,3,5,7,6,4,0,2,0,0,"18/19",1551254400,1,0,3.4,2.2,4.33333333333333,0.333333333333333,1,1.4,13,8,2.26,0.73,3,1
"3698","E0","27/02/2019","27/02/2019","27/02/2019","Man City","West Ham",1,0,"H",3,0,"H",0,0,"D","S Attwell",20,2,7,1,2,6,12,2,0,2,0,0,"18/19",1551254400,1,0,3.2,0.6,2,1.33333333333333,1,1.8,12,4,2.26,0.73,3,1
"3700","E0","02/03/2019","02/03/2019","02/03/2019","Bournemouth","Man City",0,1,"A",0,3,"A",0,0,"D","K Friend",0,23,0,7,7,7,0,14,1,2,0,0,"18/19",1551513600,0,1,2.4,2,0.333333333333333,2.66666666666667,0.8,1,11,9,1.06,1.81,1,2
"3702","E0","02/03/2019","02/03/2019","02/03/2019","Burnley","Crystal Palace",1,3,"A",0,3,"A",0,1,"A","L Probert",18,10,4,4,9,9,8,5,1,2,0,0,"18/19",1551513600,0,0,1.6,2.6,2,1.66666666666667,1.6,1.6,10,10,1.48,1.09,1,1
"3703","E0","02/03/2019","02/03/2019","02/03/2019","Man United","Southampton",3,2,"H",3,0,"H",0,1,"A","S Attwell",16,6,6,3,7,10,9,7,2,1,0,0,"18/19",1551513600,1,0,2.2,1.2,0.666666666666667,0.333333333333333,1,1,11,8,2.26,0.73,2,1
"3704","E0","02/03/2019","02/03/2019","02/03/2019","Tottenham","Arsenal",1,1,"D",1,1,"D",0,1,"A","A Taylor",10,9,3,4,15,14,3,4,3,2,0,1,"18/19",1551513600,1,1,1.4,1,1.66666666666667,0.666666666666667,1.2,2.2,9,4,1.7,1.18,2,1
"3705","E0","02/03/2019","02/03/2019","02/03/2019","West Ham","Newcastle",2,0,"H",3,0,"H",2,0,"H","C Kavanagh",10,17,4,2,8,14,1,6,3,4,0,0,"18/19",1551513600,0,0,1.4,0.6,1.66666666666667,1,1.2,1.8,8,2,1.48,1.09,1,1
"3707","E0","03/03/2019","03/03/2019","03/03/2019","Everton","Liverpool",0,0,"D",1,1,"D",0,0,"D","M Atkinson",7,10,3,3,12,10,3,7,1,2,0,0,"18/19",1551600000,0,1,1,1,0.333333333333333,0.666666666666667,2.4,0.6,3,8,1.06,1.81,1,2
"3708","E0","03/03/2019","03/03/2019","03/03/2019","Fulham","Chelsea",1,2,"A",0,3,"A",1,2,"A","G Scott",12,20,5,7,11,10,5,4,2,1,0,0,"18/19",1551600000,0,1,1.4,0.6,0.666666666666667,2.33333333333333,1.6,2.6,7,6,1.06,1.81,1,1
"3709","E0","03/03/2019","03/03/2019","03/03/2019","Watford","Leicester",2,1,"H",3,0,"H",1,0,"H","J Moss",6,14,5,2,15,12,1,5,5,1,0,0,"18/19",1551600000,0,0,1.2,1.4,1.33333333333333,1,1,1.6,8,7,1.48,1.09,1,1
"3714","E0","09/03/2019","09/03/2019","09/03/2019","Man City","Watford",3,1,"H",3,0,"H",0,0,"D","P Tierney",19,2,9,1,11,7,9,1,1,1,0,0,"18/19",1552118400,1,0,3,1.6,2.33333333333333,0.333333333333333,0.4,1.8,15,7,2.26,0.73,3,1
